iter	Passed	Remaining
0	168	168060
1	169	84543
2	170	56625
3	171	42593
4	171	34202
5	172	28602
6	173	24592
7	173	21574
8	174	19223
9	175	17342
10	175	15800
11	176	14530
12	176	13437
13	177	12502
14	177	11688
15	178	10982
16	179	10356
17	179	9797
18	180	9296
19	182	8946
20	183	8550
21	184	8195
22	184	7852
23	185	7537
24	185	7246
25	186	6978
26	187	6750
27	187	6523
28	188	6311
29	189	6113
30	189	5931
31	190	5755
32	190	5590
33	191	5433
34	191	5285
35	192	5145
36	192	5013
37	193	4888
38	193	4770
39	194	4657
40	194	4549
41	197	4510
42	199	4430
43	199	4338
44	200	4249
45	200	4162
46	201	4078
47	201	3998
48	202	3923
49	202	3849
50	203	3779
51	203	3711
52	204	3647
53	204	3583
54	205	3522
55	205	3464
56	205	3407
57	206	3353
58	207	3301
59	207	3250
60	207	3201
61	208	3153
62	208	3106
63	210	3076
64	210	3033
65	211	2992
66	211	2950
67	212	2910
68	212	2871
69	213	2833
70	213	2797
71	214	2761
72	214	2727
73	215	2694
74	215	2661
75	216	2629
76	216	2597
77	217	2566
78	217	2536
79	218	2507
80	218	2479
81	218	2451
82	219	2422
83	219	2396
84	220	2370
85	220	2345
86	221	2321
87	221	2297
88	223	2291
89	224	2270
90	225	2248
91	225	2225
92	225	2204
93	226	2182
94	226	2161
95	227	2141
96	227	2121
97	228	2101
98	228	2083
99	229	2064
100	229	2046
101	230	2027
102	230	2010
103	231	1992
104	231	1975
105	232	1959
106	232	1942
107	233	1926
108	233	1910
109	234	1894
110	234	1879
111	235	1864
112	235	1849
113	236	1834
114	236	1820
115	238	1819
116	239	1810
117	240	1798
118	241	1785
119	241	1771
120	242	1758
121	242	1744
122	242	1732
123	243	1719
124	243	1706
125	244	1694
126	244	1681
127	245	1670
128	245	1658
129	246	1646
130	246	1635
131	247	1624
132	247	1614
133	248	1603
134	248	1593
135	249	1582
136	249	1572
137	250	1562
138	250	1552
139	251	1542
140	251	1533
141	252	1522
142	253	1518
143	253	1508
144	254	1499
145	254	1490
146	255	1481
147	255	1472
148	256	1463
149	256	1455
150	257	1446
151	257	1438
152	258	1429
153	258	1421
154	259	1413
155	259	1404
156	260	1396
157	260	1388
158	261	1380
159	261	1373
160	261	1364
161	262	1356
162	262	1349
163	263	1341
164	263	1334
165	264	1327
166	264	1320
167	265	1315
168	269	1326
169	270	1320
170	271	1314
171	271	1307
172	272	1301
173	272	1294
174	273	1288
175	273	1282
176	274	1275
177	274	1269
178	275	1263
179	275	1256
180	276	1251
181	277	1245
182	277	1240
183	278	1235
184	279	1230
185	279	1224
186	280	1218
187	280	1212
188	281	1206
189	283	1210
190	284	1204
191	284	1199
192	285	1193
193	285	1187
194	286	1182
195	286	1176
196	287	1171
197	287	1165
198	288	1160
199	288	1154
200	289	1149
201	289	1144
202	290	1138
203	290	1133
204	291	1128
205	291	1124
206	292	1119
207	292	1114
208	293	1109
209	293	1105
210	294	1100
211	294	1095
212	295	1091
213	295	1086
214	296	1081
215	299	1085
216	299	1080
217	300	1076
218	300	1071
219	301	1067
220	301	1062
221	301	1058
222	302	1053
223	302	1049
224	303	1045
225	303	1040
226	304	1036
227	304	1032
228	305	1027
229	305	1023
230	306	1019
231	306	1015
232	307	1010
233	307	1006
234	308	1003
235	308	999
236	309	995
237	309	991
238	310	987
239	310	983
240	311	980
241	311	976
242	313	977
243	314	974
244	315	970
245	315	967
246	316	963
247	316	960
248	317	956
249	317	952
250	317	948
251	318	945
252	319	942
253	319	938
254	320	935
255	320	931
256	321	928
257	321	924
258	322	921
259	322	918
260	323	915
261	323	911
262	324	908
263	324	905
264	325	901
265	325	898
266	326	895
267	326	891
268	328	893
269	329	892
270	330	889
271	331	886
272	331	882
273	332	879
274	332	876
275	332	873
276	333	870
277	333	867
278	334	864
279	334	860
280	335	857
281	336	855
282	336	852
283	336	849
284	337	846
285	337	843
286	338	840
287	338	837
288	339	834
289	339	831
290	340	829
291	340	826
292	341	823
293	341	820
294	342	819
295	343	818
296	344	815
297	344	812
298	345	809
299	346	807
300	346	804
301	346	801
302	347	799
303	347	796
304	348	793
305	348	791
306	349	789
307	350	786
308	350	784
309	351	781
310	351	779
311	352	776
312	352	773
313	353	771
